source_opentripmap_id,location_name,normalized_name,city,country,category_raw,latitude,longitude,opentripmap_rate,popularity_score,source_wikidata_id,source_osm_id,data_source
W339438916,Chiesa di San Lorenzo in Fonte,chiesa di san lorenzo in fonte,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.89564895629883,12.493753433227539,3,3,Q727686,way/339438916,OpenTripMap
N2140602057,Porta Pia,porta pia,Rome,Italy,"fortifications,defensive_walls,historic,interesting_places",41.90931701660156,12.501320838928223,7,7,Q54863559,node/2140602057,OpenTripMap
W349333996,Oratorio di Santa Maria Immacolata della Concezione,oratorio di santa maria immacolata della concezione,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.89594268798828,12.500490188598633,3,3,Q3355127,way/349333996,OpenTripMap
Q6382871,Biblioteca Nazionale Centrale di Roma,biblioteca nazionale centrale di roma,Rome,Italy,"other,unclassified_objects,interesting_places,historic_object",41.90678405761719,12.504961967468262,7,7,Q6382871,,OpenTripMap
Q78514476,Sant'Andrea de Fractis,sant'andrea de fractis,Rome,Italy,"religion,churches,interesting_places,other_churches",41.89591598510742,12.500499725341797,3,3,Q78514476,,OpenTripMap
W201401560,Teatro Eliseo,teatro eliseo,Rome,Italy,"cultural,theatres_and_entertainments,interesting_places,other_theatres",41.89797592163086,12.4885892868042,3,3,Q3516757,way/201401560,OpenTripMap
W338042338,Cappella Corpus Christi della Curia generalizia dei Cappucci,cappella corpus christi della curia generalizia dei cappucci,Rome,Italy,"religion,churches,interesting_places,other_churches",41.90987014770508,12.4925537109375,3,3,Q3668528,way/338042338,OpenTripMap
W348366129,Torre dei Graziani,torre dei graziani,Rome,Italy,"architecture,towers,interesting_places,other_towers",41.89518356323242,12.497011184692383,3,3,Q56709210,way/348366129,OpenTripMap
W202072472,Sant’Isidoro a Capo le Case,sant’isidoro a capo le case,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.906005859375,12.487066268920898,3,3,Q1099048,way/202072472,OpenTripMap
Q22583640,Biblioteca medica statale Rome,biblioteca medica statale rome,Rome,Italy,"other,unclassified_objects,interesting_places,historic_object",41.90628433227539,12.505558967590332,7,7,Q22583640,,OpenTripMap
W338700520,Chiesa di Santa Maria Regina dei Cuori,chiesa di santa maria regina dei cuori,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.910240173339844,12.49394416809082,3,3,Q3673524,way/338700520,OpenTripMap
W81741055,Chiesa di Sant'Alfonso dei Liguori,chiesa di sant'alfonso dei liguori,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.89574432373047,12.500443458557129,3,3,Q655114,way/81741055,OpenTripMap
Q588204,Baths of Constantine,baths of constantine,Rome,Italy,"historic,archaeology,interesting_places,baths_and_saunas,saunas,other_archaeological_sites,amusements",41.89842987060547,12.487899780273438,3,3,Q588204,,OpenTripMap
W202304431,Santa Maria d'Itria,santa maria d'itria,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.903079986572266,12.485937118530273,3,3,Q2223154,way/202304431,OpenTripMap
Q19631546,San Nicola in Arcione,san nicola in arcione,Rome,Italy,"religion,churches,interesting_places,other_churches",41.9023323059082,12.485888481140137,3,3,Q19631546,,OpenTripMap
N2442817364,Arco di Gallieno,arco di gallieno,Rome,Italy,"architecture,historic_architecture,historic,monuments_and_memorials,interesting_places,monuments,triumphal_archs",41.89582443237305,12.501304626464844,3,3,Q3108617,node/2442817364,OpenTripMap
W24167332,Piazza di San Martino ai Monti,piazza di san martino ai monti,Rome,Italy,"religion,churches,urban_environment,cultural,interesting_places,catholic_churches,squares",41.894962310791016,12.497735023498535,7,7,Q1663278,way/24167332,OpenTripMap
W95930238,Santi Vito e Modesto,santi vito e modesto,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.895870208740234,12.50155258178711,3,3,Q3585446,way/95930238,OpenTripMap
W558274833,Sepolcro del Giovinetto Quinto Sulpicio Massimo,sepolcro del giovinetto quinto sulpicio massimo,Rome,Italy,"tumuluses,historic,monuments_and_memorials,burial_places,archaeology,interesting_places,other_archaeological_sites,monuments",41.91057586669922,12.498446464538574,3,3,Q1540900,way/558274833,OpenTripMap
W81741050,Arch of Gallienus,arch of gallienus,Rome,Italy,"architecture,historic_architecture,fortifications,defensive_walls,historic,interesting_places,destroyed_objects",41.895782470703125,12.501357078552246,3,3,Q616887,way/81741050,OpenTripMap
